Nombre;Zona;InformacionTexto;BanderaAzul;QCalidad;Concejo;Accesos;Tipo de Playa;Salvamento;Puntos accesibles;Servicios;Longitud;Observaciones;Más Información;Ordenanzas de las mascotas;Facebook;Twitter;Youtube;Pinterest;Instagram;Rss;Canal ;Url;Coordenadas;Slide;Título;Url
Playa de San Antonio;Oriente de Asturias;Un refugio a la vera de Cuevas de Mar Separada de Cuevas de Mar por Punta San Antonio es una pequeña cala de arena blanca y moderado oleaje, que se llama San Antonio. Esta playa natural, con forma de cocha y que está protegida por acantilados, ha ganado una considerable afluencia en los últimos años, de usuarios que huyen de la alta ocupación que también registra Cuevas. El acceso puede realizarse a pie desde Cuevas de Mar. También se puede llegar en coche desde Nueva de Llanes, pero es necesario realizar los últimos metros caminando.  Carece de aparcamiento.;;;Llanes;A pie fácil;Arena blanca;;;;70 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.45952,-4.92836;/documents/39908/43410/PlayaSanAntonio1.jpg/ff46e089-52ce-c56f-3785-d94f6d4b1e6e?t=1674171542371;Playa de San Antonio;
Playa La Franca;Oriente de Asturias;Una playa con solera Situada en la desembocadura del río Cabra, es el límite costero entre Llanes y Ribadedeva. La Franca es una playa con forma triangular, de arena blanca, oleaje moderado y entorno semiurbano que dispone de todos los servicios. En bajamar conecta con otras calas como El Oso, El Viveru y Regorgueru. El acceso es sencillo lo que favorece su alta ocupación, aunque no está masificada. Tiene una gran tradición turística ya desde el siglo XIX, cuando disponía de un balneario marítimo. En el centro del arenal se encuentra el islote de El Castrón, refugio habitual de gaviotas.;;;Ribadedeva;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;260 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/05 hasta 30/09  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. ACCESIBLE – PRACTICABLE Tres rampas de acceso.  Un baño y una ducha accesibles.  Pasarelas.  Tres aparcamientos accesibles.;;;;;;;;;;;+43.393494,-4.576155;/documents/39908/43566/PlayaFranca4.jpg/3b7c9017-f858-4e5f-f5f5-ebbb70a58dd6?t=1674171699768,/documents/39908/43566/PlayaFranca2.jpg/cda94cd0-23bb-aee6-62f2-a23f6916a300?t=1674171700477,/documents/39908/43566/LaFranca3.jpg/d9020c78-910a-8a5e-6bf7-2655cc5d2ca7?t=1674171698745;Playa de La Franca,Playa de La Franca,Playa de La Franca;,,
Playa de Foxos;Occidente de Asturias;Un oasis de arena dorada entre abruptos acantilados Entre Ortigueira y la desembocadura del Navia, se encuentra la playa de Foxos, un arenal de 150 metros encerrado entre abruptos acantilados. De arena dorada, ventosa y con fuerte oleaje, es una playa con poca ocupación. En sus inmediaciones, se encuentra un área recreativa con mesas de picnic y zonas de sombra que invitan al descanso, todo ello enclavado en un entorno natural muy interesante. Posee acceso rodado hasta la playa, tras pasar el pueblo homónimo.;;;Coaña;A pie fácil y coche;Arena dorada;;;Aparcamiento;150 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 15/06 hasta 15/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (fin de semana): 01/07 a 31/08 de 12:00 a 19:00 h. ;;;;;;;;;;;+43.55648,-6.72672;/documents/39908/43482/PlayaFoxos1.jpg/ecc9f346-c22f-786b-9829-1286c25a8049?t=1674171619774,/documents/39908/43482/playa-de-foxos-ortiguera-coa%C3%B1a.jpg/f4ae9831-ccae-9103-4737-b859dcfce189?t=1674171620341,/documents/39908/43482/foxos+%282%29.jpg/38fdb05c-7385-f1a6-424c-0e0e354fc6d0?t=1674171622254,/documents/39908/43482/foxos.jpg/50f1a226-210b-17c5-6398-f4eb14d42337?t=1723552321557,/documents/39908/43482/foxos+%281%29.jpg/baba0662-4014-5826-08dc-c6bbeb795907?t=1674171621585;Playa de Foxos / Ortiguera,Playa de Foxos / Ortiguera,Playa de Foxos / Ortiguera,Playa de Foxos,Playa de Foxos;,,,,
Playa de Puertu Chicu;Oriente de Asturias;Un baño más apartado en la capital de Llanes Puertu Chicu es una pequeña cala enclavada dentro del casco urbano de Llanes y con una ocupación menor que El Sablón, su arenal más popular. Tiene una longitud de 150 metros, de arena blanca y bolos, que casi desaparecen durante la pleamar y está situada al final del paseo de San Antón, un lugar de paso para los que decidan dar un paseo hasta Toró. Dispone de todos los servicios clásicos de una playa urbana, con buenos equipamientos y un acceso sencillo.;;;Llanes;A pie fácil y coche;Arena blanca;;;Servicio hostelería,Duchas,Aparcamiento;150 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.    ;;;;;;;;;;;+43.418885,-4.747683;/documents/39908/43326/PlayaPuertoChico1.jpg/35989240-d594-4503-376b-d7f6864ed3af?t=1674171456111,/documents/39908/43326/playa+puertu+chicu+2.JPG/2f240622-a327-0bb3-79d5-30195191d323?t=1687784641417;Playa de Puerto Chico,;,
Playa de Bañugues;Centro de Asturias;Una tranquila playa de entorno rural y arenas doradas Con muy poco oleaje, la playa de Bañugues es una balsa tranquila, muy frecuentada y con buenos servicios, se trata de un arenal muy familiar, ideal para los niños, debido por un lado a su casi perpetua bandera verde y a las piscinas naturales que se forman en bajamar. Está enclavada en una ensenada donde se encuentran interesantes yacimientos del Paleolítico. Es una playa óptima para el baño y la práctica de la pesca deportiva.  Forma parte del Paisaje Protegido del Cabo Peñas.;;;Gozón;A pie fácil y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Accesible,Servicio salvamento;131 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y presencia de cualquier tipo de animales, incluso domésticos, a las playas, aguas y zonas de baño, así como a los paseos marítimos, a excepción de los que resulten precisos para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por la playa, serán responsables de los mismos sus propietarios. El poseedor de un animal, sin perjuicio de la responsabilidad subsidiaria del propietario, será responsable de los daños y perjuicios que ocasione a las personas, instalaciones y medios en general. Servicio salvamento (diario): 15/06 a 08/09 Accesible - Practicable Duchas y baños accesibles. Boyas.  ;;;;;;;;;;;+43.62915,-5.80975;/documents/39908/43593/banugues_pedrero.jpg/19cdb4f4-4d05-e317-7961-379511a07b2a?t=1674171729929,/documents/39908/43593/PlayaBanugues2.jpg/8661b3f3-5fc3-12db-9a5f-48303ba98f08?t=1674171732285,/documents/39908/43593/PlayaBanugues3.jpg/e7330103-e349-0907-1cec-1903a823a406?t=1674171732897,/documents/39908/43593/vistas-playa-ba%C3%B1ugues.jpg/7a116271-6535-1739-8a00-84021b8efbd8?t=1674171731084;Pedrero en la Playa de Bañugues,Playa de Bañugues,Playa de Bañugues,Playa de Bañugues;,,,
Playa Penarronda;Occidente de Asturias;Una flora única para un Monumento Natural La playa de Penarronda la comparten los concejos de Castropol (Barres) y Tapia de Casariego (Santa Gadía). Dividida por el arroyo de mismo nombre, Penarronda es única: cuenta entre su flora con Malcomia littorea, es decir, alhelí de mar, una especie en peligro de extinción, que no está presente en ningún otro lugar de Asturias. Además, destaca por su singular belleza, en forma de concha alargada y con una roca redonda en el centro que da nombre a la playa. Tiene buenos equipamientos, es ventosa y con fuerte oleaje, lo que la hace perfecta para la práctica del surf. En Tapia de Casariego se accede por Santa Gadía y en Castropol por la localidad de Barres.  Forma parte de la Reserva de la Biosfera Río Eo, Oscos y Terras de Burón.;true;;Castropol y Tapia de Casariego;A pie y coche  ;Arena fina dorada;;;Playa sin Humo,Servicio hostelería,Duchas,Aparcamiento,Accesible,Servicio salvamento,Surf;600 m;Ordenanza mascotas en la playa: Queda prohibido el acceso de animales domésticos a las playas y zonas de baño, a excepción del que resulte preciso para el desarrollo de actividades debidamente autorizadas por la autoridad sanitaria competente. En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Queda autorizada en las playas la presencia de perros lazarillo en compañía de la persona a quien sirvan, sin perjuicio de la responsabilidad de su poseedor y/o propietario ni de las medidas que el mismo deba adoptar para evitar molestias o riesgos paro el resto de usuarios. Quienes vulneren la prohibición del número 1, o no cumplan con las condiciones preceptuadas en el número 3 anteriores, deberán abandonar de inmediato las playas con el animal, a requerimiento verbal de los Agentes de la autoridad, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Puntos accesibles: Rampa. Duchas y aseos.  Ocho plazas aparcamiento. Silla anfibia.;;;;;;;;;;;+43.553214,-6.996035;/documents/39908/43302/AStC9038_Castropol_Penarronda_4.jpg/2478b1a6-1530-c882-46dd-817fef4bcb03?t=1674171421051,/documents/39908/43302/PlayaPenarronda2.jpg/5f6c9a93-01d7-825d-ca20-10091dc64656?t=1674171415601,/documents/39908/43302/AStC9066_Castropol_Penarronda_3.jpg/b1911d1a-fffa-c476-6c43-fe37fd0154b8?t=1674171421718,/documents/39908/43302/penarronda.jpg/4ec7cb42-1e45-4917-1ca5-ddd47aaeeeaf?t=1674171420326;Playa de Penarronda,Atardecer en la Playa de Penarronda,Ciclistas en la Playa de Penarronda,Atardecer en la Playa de Penarronda;,,,
Playa de Xivares;Centro de Asturias;Ideal para todo tipo de público El arenal de Xivares son, en realidad, dos. Se trata de la unión de Xivares 1 y Peña María o Xivares 2. Juntas conforman una playa de 800 metros de arena blanca, con un oleaje moderado y mucha variación en su anchura, según las mareas. En bajamar, se unen con la playa de Aboño y todas ellas se aprecian desde el alto de la Campa de Torres, formando una interesante panorámica de la rasa costera hasta el Cabo Peñas.;;;Carreño;A pie fácil y coche;Arena dorada;Diario: 10/06 a 14/09.;Rampa hasta la arena.;Aparcamiento de pago,Duchas y lavapiés,Aseos,Área Recreativa,Playa sin Humo;800 m.;;;Queda  prohibido  el  acceso  de  animales  de  compañía  entre  el  15/05 y el 15/10.  Del 01/05 al 14/05 y 16/10 al 31/10, se permitirá el acceso de animales de compañía hasta las 10:00 y desde las 19:00 h., quedando  prohibida la presencia de animales de compañía entre las 10:00 y las 19:00 h. Los animales no podrán generar molestias a otros usuarios, debiendo ejercer la persona propietaria control en todo momento sobre el animal. En los paseos marítimos y urbanos, en las zonas próximas a los accesos a la playa, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deberán ir provistos de bozal.;;;;;;;;;43.569996,-5.718760;/documents/39908/43446/PlayaXivares1.jpg/ec00ec0f-a787-3bc8-e385-94a16a28a408?t=1674171580386,/documents/39908/43446/PlayaXivares2.jpg/569e9986-b3ed-d5f6-8880-e3f7a0a83f00?t=1674171581018,/documents/39908/43446/PlayaXivares3.jpg/e25dc1d2-b00f-15d8-81b2-1df5f7dce9bd?t=1674171581928,/documents/39908/43446/PlayaXivares4.jpg/ae94b099-5609-ecd9-212d-8950802edf13?t=1674171582543;Playa 1ª y 2ª de Xivares / Peña María,Playa 1ª y 2ª de Xivares / Peña María,Playa 1ª y 2ª de Xivares / Peña María,Playa 1ª y 2ª de Xivares / Peña María;,,,
Playa de Cue, Antilles o Canales;Oriente de Asturias;Un rincón para el buceo sin apenas saturación Cue es una playa de arena blanca y fina, con un entorno rocoso, que está unida por una barrera arenosa a una gran roca conocida como Isla Grande o Islona. En pleamar parece una piscina natural, sin olas, al quedar resguardada del mar abierto. Es un rincón idóneo para practicar buceo o para pescar. A este arenal, que registra una afluencia moderada, se puede llegar a pie o en coche desde la localidad de Cue, que está situada a menos de un kilómetro. Dispone de un pequeño aparcamiento y no es accesible para personas con movilidad reducida.  ;;;Llanes;A pie fácil y coche;Arena blanca;;;Duchas,Aparcamiento,Área Recreativa;380 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.416628,-4.731119;/documents/39908/43254/PlayaCue2.jpg/c8dc41b0-df06-0de5-f292-022dbff2c50b?t=1674171362625,/documents/39908/43254/Cue3.jpg/f59d7c95-545d-1340-9929-868b456ff9a3?t=1674171363279,/documents/39908/43254/Cue4.jpg/4e3454c3-f7e2-ce8f-f46f-01ba893ce8dc?t=1674171364252,/documents/39908/43254/PlayaCue1.jpg/0820e7fe-6368-076f-4cf2-be6e68afd670?t=1674171365811;Playa de Cue,Playa de Cue,Playa de Cue,Playa de Cue;,,,
Playa de Campiechos;Occidente de Asturias;Un reclamo para los aficionados a la pesca y para los senderistas Al oeste de Cadavéu, se encuentra la playa de Campiechos, formada de cantos rodados y con un fuerte oleaje. Está rodeada de rocas y tiene un pedrero que la convierte en un lugar idóneo para la pesca. Un estrecho camino permite el acceso en coche hasta una cetárea, junto a la que existe un pequeño aparcamiento, y algunas construcciones relacionadas con la pesca. Para bajar a Campiechos se salva un desnivel de ocho metros con una rampa. Está en una zona aislada y carece de transporte público, por lo que es un arenal poco concurrido.  ;;;Valdés;A pie fácil y coche;Bolos;;;Admite animales;400 m.;Permitido el acceso de mascotas durante todo el año  Normas: Se permite el acceso de perros durante todo el año en la zona delimitada como "playa canina", fuera de esta zona está prohibido. Deben estar vacunados, desparasitados y con microchip. Los responsables deben llevar consigo en todo momento la documentación del animal en regla. Podrán estar sueltos, siempre bajo la supervisión de la persona propietaria o responsable, que también es responsable de los daños ocasionados por el mismo. Siempre irán acompañados de una persona mayor de edad y no deben causar molestias al resto de usuarios. Aquellos catalogados como P.P.P deben ir siempre atados y con bozal. Los responsables deben ir preparados con bolsas para recoger los excrementos y depositarlos en las papeleras o contenedores habilitados.;;;;;;;;;;;+43.558296,-6.393218;/documents/39908/43224/PlayaCampiecho1.jpg/4e805ed6-0425-0ed3-ba5f-7902976f8b2a?t=1674171340715,/documents/39908/43389/2022-campiechos+%282%29.jpg/5870982b-019c-2a11-c620-33f3fe41112f?t=1674171526347,/documents/39908/43224/campiechos1.jpg/35609bc1-23ed-d177-fef4-43cded92b2d3?t=1674171338710;Playa de Campiechos,Playa de Campiechos,Playa de Campiechos;,,
Playa Arenal de Morís;Oriente de Asturias;Muy bien equipada, accesible, versátil y en forma de concha 800 metros de arena fina de color tostado para una de las playas más frecuentadas del concejo de Caravia. El Arenal de Morís cuenta con excelentes equipamientos, y puntos accesibles para personas con movilidad reducida.  Con un alto valor paisajístico, resulta muy adecuada para la pesca de roca y la pesca submarina. Además, dispone de una zona donde es frecuente la práctica del surf. En ella empieza un tramo de la senda costera, de unos diez kilómetros que termina en la playa de La Griega (Colunga). Ordenanza de tráficoOrdenanza de estacionamiento: Se prohíbe el estacionamiento y pernocta en los aparcamientos y en todo el perímetro del parque playa de cualquier caravana, autocaravana, vehículo mixto o cualquier vehículo apto para la acampada.  ;;;Caravia;Rodado.;Arena fina, color tostado.;Diario: 01/06 a 30/09.;Aparcamiento (con plazas reservadas). Baños adaptados. Duchas y lavapiés habilitados Rampa de acceso al arenal (bastante pronunciada). En zonas de la playa los cantos rodados pueden dificultar la accesibilidad.;Aparcamiento de pago,Aseos,Duchas y lavapiés,Zona de merendero,Servicio de limpieza;800 m.;;;Queda prohibido el acceso y la presencia de animales domésticos en la playa (arenales y dunas) desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal.;;;;;;;;;43.474690,-5.173349;/documents/39908/43227/ArenaldeMor%C3%ADs3.jpg/9e61d52b-24b7-d59c-047f-a7a27985d9c6?t=1674171341362,/documents/39908/43227/PlayaCaravia1.jpg/be8fc711-3834-1055-a99e-357099da8840?t=1674171342732,/documents/39908/43227/PlayaCaravia2.jpg/3431d826-2b17-c485-9ed5-2600ad5c5cf6?t=1674171343380;Playa de Caravia / Arenal de Morís,Playa de Caravia / Arenal de Morís,Playa de Caravia / Arenal de Morís;,,
Playa de Cuevas del Mar;Oriente de Asturias;Su nombre describe las rocas horadadas por el mar que la forman En la desembocadura del río Nueva, existe una playa salpicada por enormes formaciones rocosas perforadas por el mar que dejan al descubierto cuevas y túneles. Se trata de un paisaje kárstico de gran belleza. Cuevas de Mar es un arenal muy turístico, con un alto nivel de ocupación, cercano a Nueva en Llanes. Está formado por bolos y arena blanca, registra un oleaje moderado, aunque su baño no es peligroso, y se abre en forma triangular. Dispone de un amplio aparcamiento, buenos equipamientos y un área recreativa.;;;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Aparcamiento,Servicio salvamento;125 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h.;;;;;;;;;;;+43.45742,-4.93657;/documents/39908/43251/PlayaCuevasMar1.jpg/b361550c-22e9-b514-f29a-20a1f44fe791?t=1674171360501,/documents/39908/43251/PlayaCuevasMar3.jpg/72ed6e17-efc5-74e2-023e-b5a41668563f?t=1674171361918,/documents/39908/43251/PlayaCuevasMar2.jpg/e34f9291-ebaa-1b30-09fc-c34eaa3cbbdc?t=1674171361224;Playa de Cuevas del Mar,Playa de Cuevas del Mar,Playa de Cuevas del Mar;,,
Playa de Peñarrubia;Centro de Asturias;Rodeada de acantilados de importante valor geológico La playa de Peñarrubia es una estrecha franja de grava y arena, rodeada de altos acantilados que encierran una importante riqueza fósil. Su acceso es complejo y puede ser peligroso debido a la posibilidad de desprendimientos, lo que en ocasiones provoca su cierre. Es una playa perfecta para la práctica de deportes acuáticos como la pesca submarina, el buceo, el surf, el windsurf, el longboard o el paddlesurf. Además, sus alrededores son perfectos para el senderismo.;;;Gijón;A pie;Arena dorada y grava;;;Duchas,Aparcamiento,Surf;550 m.;Ordenanza mascotas en la playa: No está permitido el acceso con mascotas. Servicio salvamento: consultar;;;;;;;;;;;+43.551606, -5.624444;/documents/39908/43305/pe%C3%B1arrubia.jpg/d0b7d782-bd5b-2c4a-234c-2cefff7de371?t=1674171423775,/documents/39908/43305/PlayaPenarrubia1.jpg/c35a0277-820a-56f0-d5d3-c4f0339a40ff?t=1674171423115,/documents/39908/43305/penarrubia-%281%29.jpg/aeca693f-fefc-855a-d61f-8c6a2d4bbbbd?t=1687178210700,/documents/39908/43305/penarrubia-%282%29.jpg/887153d8-b6d2-3ca0-4e35-f76919af2e0b?t=1687178212588;Playa de Peñarrubia,Playa de Peñarrubia,,;,,,
Playa de Buelna o Las Arenillas;Oriente de Asturias;Esta cala caprichosa es ideal para disfrutar en familia Es una cala natural de gran belleza, con forma de canal caprichosa, que en bajamar impide ver el mar desde el fondo de la arena. Buelna es una playa que pasa de 50 a 1.000 metros en función de las mareas y que está formada por arena blanca y fina y rocas. Una de las más famosas es un pináculo calcáreo denominado El Picón. En sus inmediaciones se pueden visitar bufones. El arenal es muy familiar y con un baño seguro. Pese a que carece de equipamientos y no es accesible, registra un alto nivel de ocupación. Se accede a él mediante una pista desde Buelna.;;;Llanes;A pie fácil y coche;Arena blanca;;;Aparcamiento;50 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador.  ;;;;;;;;;;;+43.395751,-4.618399;/documents/39908/43218/playa_de_buelna.jpg/06a525ca-12fb-60bb-ce70-6f053c0d25e1?t=1674171333174,/documents/39908/43218/PlayaBuelna2.jpg/81308c36-d4f3-1196-7dcd-c4fb159de54b?t=1674171334502,/documents/39908/43218/PlayaBuelna1.jpg/3cdd9543-a394-c606-843e-5fa3afc04437?t=1674171333848;Playa de Buelna,Playa de Buelna,Playa de Buelna;,,
Playa de Merón;Centro de Asturias;El mar y la historia se unen en este entorno rural En plena desembocadura del río Merón, se abre una playa flanqueada por acantilados, con forma de concha, que encaja con el entorno rural. El acceso a través de carreteras locales es complejo. En la recta final se ha habilitado una estrecha pista hormigonada que concluye en un pequeño aparcamiento. A solo medio kilómetro al oeste, se encuentra un yacimiento de huellas de dinosaurio, al que se llega a través de un camino que cruza los acantilados. El grado de ocupación de la playa no es muy elevado..;;;Villaviciosa;A pie y coche;Grava y arena blanca;;;Aparcamiento,Servicio salvamento;200 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09.  En los paseos marítimos y urbanos, en las zonas próximas a los accesos a las playas, se permitirá la presencia de animales de compañía siempre que vayan sujetos por una correa fija de longitud no superior a un metro y, cuando así fuera necesario por las características del animal, deben ir provistos de bozal. Servicio salvamento (diario): 01/07 a 31/08  ;;;;;;;;;;;+43.54388, -5.49449;/documents/39908/43272/PlayaMeron1.jpg/e8fff16a-af95-15c9-4688-9a207c8adba2?t=1674171389452,/documents/39908/43272/PlayaMer%C3%B3n2.jpg/384b4579-ffb2-ad08-63c3-883bcd158a29?t=1674171390187;Playa de Merón,Playa de Merón;,
Playa del Sablón;Oriente de Asturias;La capital de Llanes dispone de una pequeña cala urbana La playa de El Sablón es una pequeña playa urbana, situada en pleno corazón de la capital de Llanes. Limitada al oeste por la punta San Pedro (que cobija un espectacular paseo marítimo) y bordeada a su vez por una senda, este arenal mide unos 100 metros, dispone de un aparcamiento y de accesos adaptados. Es un rincón de la costa asturiana, con forma semicircular, muy concurrido y con un baño seguro. Su nombre procede del término que en asturiano se emplea para referirse a la arena: sable.;;;Llanes;A pie y coche;Arena dorada;;;Servicio hostelería,Duchas,Aseos,Accesible,Aparcamiento,Servicio salvamento;100 m.;Ordenanza mascotas en la playa: Queda prohibido el acceso y la presencia de animales domésticos en la playa desde 01/06 hasta 30/09 En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios. Quienes vulneren las prohibiciones, o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los Agentes de la Autoridad o personal de Salvamento, quienes girarán parte de denuncia en orden a la instrucción del oportuno expediente sancionador. Servicio salvamento (diario): 15/06 a 08/09 de 11:30 a 19:00 h. Accesible - Practicable  Rampa de acceso. Aseos accesibles. Silla anfibia con reserva previa, mínimo con 24 h. de antelación: salvamentollanes2021@gmail.com;;;;;;;;;;;+43.42294,-4.75275;/documents/39908/43470/playa_del_sablon_llanes.jpg/613d7bd1-f592-bc10-0ca5-c368268d1f47?t=1674171612071,/documents/39908/43470/sablon_llanes_2.jpg/d95d06f6-861f-b4d4-6209-815e06592038?t=1674171613317,/documents/39908/43470/paseo_san_pedro_playa_sablon.jpg/0cf6609b-4a9f-5817-7f4e-6b278bca2485?t=1674171611467;Playa de El Sablón,Playa de El Sablón,Playa de El Sablón;,,
Playa del Moro;Occidente de Asturias;Una cala tranquila junto a una zona urbana Está situado justo a continuación de la playa de Navia. De hecho, quedan conectadas durante la bajamar. Este es su principal acceso, aunque también se puede llegar al arenal del Moro a través de un sendero que cruza la peña Furada y que comienza donde acaba la carretera principal. Esta pequeña cala de arena oscura y gruesa, como la de Navia, registra un fuerte oleaje y no es la más aconsejable para tomar un baño tranquilo. No obstante, su cercanía a la villa naviega hace que registre una ocupación media. Es más popular entre gente joven.;;;Navia;A pie fácil;Arena gruesa oscura;;;Aparcamiento,Surf;100 m.;Ordenanza mascotas en la playa:  Queda prohibido el acceso y la presencia de animales domésticos a las playas, aguas y zonas de baño del 22/06 a 11/09.  En el caso de animales abandonados que deambulen por las playas, serán responsables de los mismos sus propietarios.  Quienes vulneren las prohibiciones o no cumplan con las condiciones preceptuadas anteriormente, deberán abandonar de inmediato la playa con el animal, a requerimiento verbal de los miembros de Salvamento y Protección Civil y/o de los Agentes de la Autoridad. Servicio de salvamento: 22/06 a 11/09;;;;;;;;;;;+43.558395,-6.716915;/documents/39908/43539/PlayaDelMoro1.jpg/09cd9c14-38a3-5b37-8af2-037e7a247d90?t=1674171673270,/documents/39908/43539/playa-del-moro.jpg/3964cb64-cbde-8457-23ce-2fa770a0f439?t=1687856416722,,;Playa del Moro / Peñafurada,Playa del Moro / Peñafurada,Playa del Moro / Peñafurada,Playa del Moro / Peñafurada;,,,
